score 	 sentence_1 	 sentence_2
0 	 Put in motion or move to act; make active or more active.	something serving as a cover or protection. 
0 	 the act of cutting off length, snipping off	the act of making or enacting laws. 
0 	 the act of moving, turning something	the act of climbing something. 
4.91666666666667 	 (cause to) separate or move in different directions	to cause to separate and go in different directions. 
0.2 	 cover with a primer base	move with a thrashing motion. 
0.6 	 the state of having options, alternatives	the act of coming to land after a voyage. 
0.8 	 the act of preserving or protecting something	the act of perceiving the odor of something. 
4 	 behave or move in a certain manner	behave in a certain manner. 
0 	 the essence or gist of something	the disadvantage that results from losing something. 
4.4 	 prepare for/put to action or use	make ready for action or use. 
2.2 	 cause to be immersed in	cause to be interested or curious. 
4.4 	 a type of military aircraft	a unit of military aircraft. 
2.6 	 pass into by penetrating or permeating	the act of breaking something. 
0 	 a boundary area or edge of something	a concentrated example of something. 
4.4 	 the activity of examining or assessing something	the act of designating or identifying something. 
0.6 	 The act of beginning something new.	the act of ending something. 
0 	 the quality of heightened light on areas of an object	the date on which an obligation must be repaid. 
0 	 unite; merge with something already in existence	put up with something or somebody unpleasant. 
0.4 	 the act of moving, turning something	the act of removing or getting rid of something. 
1 	 the state of being retained	the state of being suspected. 
0 	 the act of governing, administrating	the rate of moving (especially walking or running). 
0.4 	 the quality of being useful for something	the act of making up your mind about something. 
0 	 the act of choosing or selecting	the act of raising something. 
5 	 be in direct physical contact with	be in direct physical contact with; make contact. 
0 	 the place within which an authority has power	the act of adding one thing to another. 
2.6 	 the foremost part of something	the greatest possible degree of something. 
2.8 	 mark or cover with or as if with dots	cover with or as if with a cloak. 
0.4 	 the act of putting something to use.	the act of starting something. 
0 	 Vomit, either in a controlled or uncontrolled fashion.	something copied or derived from an original. 
0 	 the act of putting a preparation on something.	the general outward appearance of something. 
2 	 the act of advocating or promoting something	the act of raising something. 
4.91666666666667 	 (cause to) separate or move in different directions	to cause to separate and go in different directions. 
0 	 the act of putting something to use.	the path followed by an object moving through space. 
0 	 a spatial terminus or farthest boundary of something	a relation that provides the foundation for something. 
0.8 	 the act of substituting one thing for another	the act of contacting one thing with another. 
0.6 	 the act of preserving or protecting something	the act of decreasing or reducing something. 
0.4 	 the act of concealing or disguising	the state of being excluded. 
0 	 the act of applying paint to a surface	the act of flipping a coin. 
4.2 	 behave or move in a certain manner	behave in a certain way. 
4.66666666666667 	 Reduce to small pieces by pounding or grinding.	reduce to small pieces or particles by pounding or abrading. 
0 	 the act of concealing or disguising	the act of freeing a city or town that has been besieged. 
0 	 Put on cream, as on one's face or body.	carry, as on one's back. 
1 	 supporter, advocate of something or someone	the visual appearance of something or someone. 
4.85 	 Advance; contribute to the progress or growth of.	contribute to the progress or growth of. 
0 	 Wear or display, as in a facet of something or an article of clothing.	a consequence of someone's efforts or of a particular set of circumstances. 
2.6 	 move into and stay in a particular position	concentrate on a particular place or spot. 
4.2 	 (cause to) move back and forth or side to side	move back and forth or sideways. 
4 	 Sell something to or obtain something from by underhanded activity.	sell something to or obtain something from by energetic and especially underhanded activity. 
0 	 state of being unclothed, naked	the act of climbing something. 
0 	 the noise of something rapping against a surface	the event of something burning (often destructive). 
0.2 	 the act of forecasting or predicting something	the act of retaining something. 
4.4 	 Supply with water for crops, as with channels, ditches, or streams.	supply with water, as with channels or ditches or streams. 
0.8 	 snatching or capturing a freely moving object	searching for or buying goods or services. 
0 	 (Cause to) become widely distributed.	become or cause to become obstructed. 
1.26666666666667 	 The human act of making something new.	the speech act of making something evident. 
4 	 trace the form or outline of	show the form or outline of. 
0 	 Hollow out in the form of a furrow or groove.	move through with or as if with a rake. 
0 	 The act of purchasing back something previously sold.	the act of explaining; making something plain or intelligible. 
1.2 	 the activity of examining or assessing something	the act of forming or establishing something. 
4.4 	 Complain; talk in a tearful manner.	talk in a tearful manner. 
